,precision,recall,f1-score,support
0,1.0,0.1667,0.2857,24.0
1,0.5349,0.6216,0.575,37.0
2,0.4706,0.6486,0.5455,37.0
accuracy,0.5204,0.5204,0.5204,0.5204
macro avg,0.6685,0.479,0.4687,98.0
weighted avg,0.6245,0.5204,0.493,98.0
,precision,recall,f1-score,support
0,1.0,0.3077,0.4706,26.0
1,0.4615,0.6486,0.5393,37.0
2,0.575,0.6216,0.5974,37.0
accuracy,0.55,0.55,0.55,0.55
macro avg,0.6788,0.526,0.5358,100.0
weighted avg,0.6435,0.55,0.5429,100.0
,precision,recall,f1-score,support
0,0.9375,0.5769,0.7143,26.0
1,0.5769,0.4286,0.4918,35.0
2,0.5455,0.8333,0.6593,36.0
accuracy,0.6186,0.6186,0.6186,0.6186
macro avg,0.6866,0.6129,0.6218,97.0
weighted avg,0.6619,0.6186,0.6136,97.0
,precision,recall,f1-score,support
0,0.8889,0.3077,0.4571,26.0
1,0.5,0.6757,0.5747,37.0
2,0.575,0.6389,0.6053,36.0
accuracy,0.5657,0.5657,0.5657,0.5657
macro avg,0.6546,0.5408,0.5457,99.0
weighted avg,0.6294,0.5657,0.5549,99.0
,precision,recall,f1-score,support
0,1.0,0.2692,0.4242,26.0
1,0.4808,0.6757,0.5618,37.0
2,0.6,0.6667,0.6316,36.0
accuracy,0.5657,0.5657,0.5657,0.5657
macro avg,0.6936,0.5372,0.5392,99.0
weighted avg,0.6605,0.5657,0.551,99.0
,precision,recall,f1-score,support
0,1.0,0.4167,0.5882,24.0
1,0.4828,0.8,0.6022,35.0
2,0.5652,0.4062,0.4727,32.0
accuracy,0.5604,0.5604,0.5604,0.5604
macro avg,0.6827,0.541,0.5544,91.0
weighted avg,0.6482,0.5604,0.553,91.0
,precision,recall,f1-score,support
0,0.8182,0.36,0.5,25.0
1,0.5714,1.0,0.7273,36.0
2,0.7778,0.4516,0.5714,31.0
accuracy,0.6413,0.6413,0.6413,0.6413
macro avg,0.7225,0.6039,0.5996,92.0
weighted avg,0.708,0.6413,0.613,92.0
,precision,recall,f1-score,support
0,0.8571,0.24,0.375,25.0
1,0.6667,0.5625,0.6102,32.0
2,0.5439,0.9118,0.6813,34.0
accuracy,0.6044,0.6044,0.6044,0.6044
macro avg,0.6892,0.5714,0.5555,91.0
weighted avg,0.6731,0.6044,0.5721,91.0
,precision,recall,f1-score,support
0,1.0,0.44,0.6111,25.0
1,0.6667,0.6857,0.6761,35.0
2,0.6042,0.8286,0.6988,35.0
accuracy,0.6737,0.6737,0.6737,0.6737
macro avg,0.7569,0.6514,0.662,95.0
weighted avg,0.7314,0.6737,0.6673,95.0
,precision,recall,f1-score,support
0,1.0,0.1765,0.3,17.0
1,0.5208,1.0,0.6849,25.0
2,1.0,0.5,0.6667,18.0
accuracy,0.6167,0.6167,0.6167,0.6167
macro avg,0.8403,0.5588,0.5505,60.0
weighted avg,0.8003,0.6167,0.5704,60.0
,precision,recall,f1-score,support
0,1.0,0.25,0.4,8.0
1,0.0,0.0,0.0,8.0
2,0.5172,1.0,0.6818,15.0
accuracy,0.5484,0.5484,0.5484,0.5484
macro avg,0.5057,0.4167,0.3606,31.0
weighted avg,0.5083,0.5484,0.4331,31.0
,precision,recall,f1-score,support
0,1.0,0.25,0.4,8.0
1,0.5455,0.9474,0.6923,19.0
2,0.8571,0.4,0.5455,15.0
accuracy,0.619,0.619,0.619,0.619
macro avg,0.8009,0.5325,0.5459,42.0
weighted avg,0.7434,0.619,0.5842,42.0
,precision,recall,f1-score,support
0,0.0,0.0,0.0,11.0
1,0.5833,0.3684,0.4516,19.0
2,0.4474,0.85,0.5862,20.0
accuracy,0.48,0.48,0.48,0.48
macro avg,0.3436,0.4061,0.3459,50.0
weighted avg,0.4006,0.48,0.4061,50.0
,precision,recall,f1-score,support
0,1.0,0.5882,0.7407,17.0
1,0.75,0.4737,0.5806,19.0
2,0.5143,0.8571,0.6429,21.0
accuracy,0.6491,0.6491,0.6491,0.6491
macro avg,0.7548,0.6397,0.6547,57.0
weighted avg,0.7377,0.6491,0.6513,57.0
